resp,fqweight,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
413,0.67438161373138406,rural,north,22,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
414,0.868455708026886,rural,north,23,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
415,0.624094724655151,rural,south west,27,never attended,currently living with partner,0,0.518,-0.2540235000400994
416,1.17406678199768,rural,western,8,primary/middle school,never married,0,0.499,-0.6017186019266556
417,0.533455550670624,rural,south west,18,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
418,0.393813788890839,urban,kampala,26,tertiary/post-secondary,never married,1,0.639,1.9602453067111254
419,0.875412702560425,rural,western,11,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
420,0.521850943565369,urban,kampala,14,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
421,0.21895606815815,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
422,0.462453693151474,rural,west nile,12,primary/middle school,currently married,0,0.486,-0.8396152505858784
423,0.9742192029953,rural,central 2,35,never attended,divorced or separated,1,0.586,0.990358969869679
424,0.515802502632141,rural,east central,12,primary/middle school,currently married,0,0.53,-0.03442659358543225
425,1.2955139875412,urban,central 1,19,secondary/post-primary,currently married,0,0.54,0.14857082846012368
426,0.533117592334747,rural,east central,37,secondary/post-primary,widow or widower,0,0.53,-0.03442659358543225
427,0.275290846824646,rural,karamoja,11,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
428,1.03977906703949,rural,west nile,11,primary/middle school,never married,0,0.486,-0.8396152505858784
429,0.605311870574951,rural,north,28,never attended,currently married,0,0.475,-1.0409124148359898
430,1.82856130599976,rural,south west,18,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
431,0.783331871032715,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
432,0.726765990257263,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
433,0.779856145381927,rural,east central,6,primary/middle school,never married,0,0.53,-0.03442659358543225
434,0.515802502632141,rural,east central,17,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
435,1.08199954032898,rural,east central,17,primary/middle school,currently married,0,0.53,-0.03442659358543225
436,3.62319445610046,urban,central 2,17,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
437,1.32109415531158,rural,north,8,primary/middle school,never married,0,0.475,-1.0409124148359898
438,1.2955139875412,urban,central 1,31,primary/middle school,currently married,0,0.54,0.14857082846012368
439,0.403276950120926,rural,karamoja,33,never attended,currently married,0,0.45,-1.4984059699498786
440,1.07834649085999,rural,west nile,23,primary/middle school,currently married,0,0.486,-0.8396152505858784
441,1.32109415531158,rural,north,11,primary/middle school,divorced or separated,1,0.475,-1.0409124148359898
442,0.451668053865433,urban,kampala,6,secondary/post-primary,never married,0,0.639,1.9602453067111254
443,0.875412702560425,rural,western,12,primary/middle school,currently married,1,0.499,-0.6017186019266556
444,2.03499150276184,rural,east central,25,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
445,0.462453693151474,rural,west nile,12,primary/middle school,currently married,0,0.486,-0.8396152505858784
446,0.743071973323822,urban,eastern,19,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
447,1.41751039028168,urban,western,27,primary/middle school,divorced or separated,1,0.499,-0.6017186019266556
448,0.451668053865433,urban,kampala,19,secondary/post-primary,widow or widower,0,0.639,1.9602453067111254
449,0.868455708026886,rural,north,34,never attended,currently living with partner,0,0.475,-1.0409124148359898
450,1.08199954032898,rural,east central,29,primary/middle school,currently married,0,0.53,-0.03442659358543225
451,1.18687474727631,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
452,1.08436417579651,rural,eastern,16,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
453,1.07834649085999,rural,west nile,26,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
454,1.337850689888,urban,south west,18,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
455,1.07834649085999,rural,west nile,12,primary/middle school,currently married,0,0.486,-0.8396152505858784
456,0.779856145381927,rural,east central,21,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
457,0.774413764476776,urban,kampala,33,primary/middle school,divorced or separated,1,0.639,1.9602453067111254
458,0.963616847991943,rural,south west,19,primary/middle school,currently living with partner,1,0.518,-0.2540235000400994
459,1.07834649085999,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
460,0.890749514102936,rural,south west,26,never attended,currently living with partner,0,0.518,-0.2540235000400994
461,0.715515851974487,rural,east central,12,secondary/post-primary,never married,0,0.53,-0.03442659358543225
462,0.649448990821838,urban,kampala,18,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
463,1.2955139875412,urban,central 1,14,primary/middle school,divorced or separated,0,0.54,0.14857082846012368
464,0.743305802345276,urban,east central,9,secondary/post-primary,never married,0,0.53,-0.03442659358543225
465,2.11354660987854,rural,central 1,9,secondary/post-primary,never married,0,0.54,0.14857082846012368
466,0.708830237388611,rural,north,25,primary/middle school,currently married,0,0.475,-1.0409124148359898
467,0.371642619371414,rural,karamoja,22,never attended,currently living with partner,0,0.45,-1.4984059699498786
468,0.403276950120926,rural,karamoja,6,never attended,currently living with partner,0,0.45,-1.4984059699498786
469,1.62163639068604,urban,central 1,13,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
470,3.62319445610046,urban,central 2,12,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
471,1.10726463794708,rural,west nile,7,primary/middle school,never married,0,0.486,-0.8396152505858784
472,1.74646699428558,rural,western,24,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
473,0.649448990821838,urban,kampala,7,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
474,0.726765990257263,rural,west nile,30,primary/middle school,currently married,0,0.486,-0.8396152505858784
475,2.01047205924988,rural,eastern,9,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
476,2.01047205924988,rural,eastern,30,primary/middle school,currently married,0,0.526,-0.10762556240365462
477,1.51590502262115,rural,eastern,35,never attended,currently married,0,0.526,-0.10762556240365462
478,1.73442399501801,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
479,1.23874318599701,rural,eastern,34,primary/middle school,widow or widower,0,0.526,-0.10762556240365462
480,0.573298931121826,rural,north,23,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
481,0.97249847650528,rural,eastern,37,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
482,0.356312274932861,urban,kampala,15,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
483,0.813002467155457,rural,west nile,12,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
484,0.649448990821838,urban,kampala,22,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
485,0.785676836967468,rural,western,24,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
486,0.779856145381927,rural,east central,23,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
487,1.14116489887238,rural,central 2,11,primary/middle school,currently living with partner,0,0.586,0.990358969869679
488,0.562493979930878,rural,east central,7,primary/middle school,never married,0,0.53,-0.03442659358543225
489,0.806391000747681,rural,central 1,21,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
490,1.76136827468872,rural,central 2,17,primary/middle school,currently living with partner,0,0.586,0.990358969869679
491,1.32109415531158,rural,north,15,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
492,1.23874318599701,rural,eastern,27,primary/middle school,currently married,0,0.526,-0.10762556240365462
493,0.790351390838623,rural,central 2,22,primary/middle school,divorced or separated,0,0.586,0.990358969869679
494,0.403276950120926,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
495,1.03977906703949,rural,west nile,17,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
496,0.413919627666473,urban,kampala,14,secondary/post-primary,never married,0,0.639,1.9602453067111254
497,1.27499651908875,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
498,0.21186837553978,urban,kampala,11,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
499,0.880152344703674,rural,north,8,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
500,0.403276950120926,rural,karamoja,15,never attended,currently married,0,0.45,-1.4984059699498786
501,1.32109415531158,rural,north,12,secondary/post-primary,currently married,1,0.475,-1.0409124148359898
502,0.21186837553978,urban,kampala,18,secondary/post-primary,never married,1,0.639,1.9602453067111254
503,0.649448990821838,urban,kampala,14,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
504,0.768798232078552,rural,central 2,18,primary/middle school,currently living with partner,1,0.586,0.990358969869679
505,0.785676836967468,rural,western,26,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
506,0.97249847650528,rural,eastern,22,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
507,0.455407708883286,urban,kampala,20,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
508,1.26523149013519,urban,central 2,14,tertiary/post-secondary,currently living with partner,0,0.586,0.990358969869679
509,0.569035053253174,urban,east central,15,primary/middle school,currently married,0,0.53,-0.03442659358543225
510,0.573298931121826,rural,north,9,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
511,1.73442399501801,rural,eastern,14,primary/middle school,currently married,0,0.526,-0.10762556240365462
512,1.51590502262115,rural,eastern,22,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
513,1.62227714061737,rural,eastern,37,primary/middle school,currently married,0,0.526,-0.10762556240365462
514,0.743305802345276,urban,east central,13,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
515,0.71438992023468,rural,south west,30,primary/middle school,currently married,0,0.518,-0.2540235000400994
516,0.320326715707779,urban,karamoja,22,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
517,2.40215873718262,rural,western,23,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
518,0.870838284492493,urban,west nile,19,primary/middle school,never married,0,0.486,-0.8396152505858784
519,0.184424161911011,rural,karamoja,29,never attended,currently married,0,0.45,-1.4984059699498786
520,0.652295649051666,rural,north,32,never attended,currently living with partner,0,0.475,-1.0409124148359898
521,0.569035053253174,urban,east central,12,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
522,0.726765990257263,rural,west nile,14,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
523,0.459849834442139,rural,east central,27,primary/middle school,currently married,0,0.53,-0.03442659358543225
524,0.715515851974487,rural,east central,36,never attended,currently living with partner,0,0.53,-0.03442659358543225
525,0.649448990821838,urban,kampala,11,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
526,1.2542210817337,rural,eastern,24,tertiary/post-secondary,currently married,0,0.526,-0.10762556240365462
527,0.221876218914986,rural,karamoja,17,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
528,0.732630848884583,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
529,1.03977906703949,rural,west nile,27,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
530,0.783331871032715,rural,east central,12,primary/middle school,currently married,0,0.53,-0.03442659358543225
531,0.708830237388611,rural,north,12,primary/middle school,currently married,0,0.475,-1.0409124148359898
532,2.6398618221283,rural,central 1,12,tertiary/post-secondary,never married,0,0.54,0.14857082846012368
533,1.32109415531158,rural,north,12,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
534,0.783331871032715,rural,east central,14,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
535,0.533117592334747,rural,east central,16,primary/middle school,currently married,0,0.53,-0.03442659358543225
536,0.880152344703674,rural,north,10,primary/middle school,currently married,0,0.475,-1.0409124148359898
537,2.01047205924988,rural,eastern,16,primary/middle school,currently married,0,0.526,-0.10762556240365462
538,1.07834649085999,rural,west nile,21,primary/middle school,currently married,0,0.486,-0.8396152505858784
539,0.726765990257263,rural,west nile,27,primary/middle school,currently married,1,0.486,-0.8396152505858784
540,0.732630848884583,rural,north,40,never attended,currently married,0,0.475,-1.0409124148359898
541,1.41751039028168,urban,western,22,primary/middle school,currently married,0,0.499,-0.6017186019266556
542,1.32109415531158,rural,north,11,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
543,0,urban,kampala,18,tertiary/post-secondary,divorced or separated,0,0.639,1.9602453067111254
544,0.515802502632141,rural,east central,30,primary/middle school,currently married,0,0.53,-0.03442659358543225
545,0.708830237388611,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
546,0.67438161373138406,rural,north,27,primary/middle school,currently married,0,0.475,-1.0409124148359898
547,1.10343849658966,rural,south west,27,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
548,1.41751039028168,urban,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
549,0.327350169420242,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
550,0.221876218914986,rural,karamoja,28,primary/middle school,currently married,0,0.45,-1.4984059699498786
551,0.649448990821838,urban,kampala,18,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
552,1.96849310398102,rural,central 1,30,primary/middle school,currently married,0,0.54,0.14857082846012368
553,0.732630848884583,rural,north,15,primary/middle school,currently married,0,0.475,-1.0409124148359898
554,0.184424161911011,rural,karamoja,25,never attended,currently married,0,0.45,-1.4984059699498786
555,0.605311870574951,rural,north,24,secondary/post-primary,currently married,0,0.475,-1.0409124148359898
556,1.17406678199768,rural,western,23,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
557,0.71438992023468,rural,south west,24,never attended,widow or widower,0,0.518,-0.2540235000400994
558,1.18687474727631,rural,south west,15,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
559,2.01047205924988,rural,eastern,13,primary/middle school,currently married,1,0.526,-0.10762556240365462
560,0.459849834442139,rural,east central,11,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
561,1.73442399501801,rural,eastern,9,primary/middle school,currently married,0,0.526,-0.10762556240365462
562,0.771679103374481,rural,south west,22,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
563,1.2955139875412,urban,central 1,18,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
564,0.393813788890839,urban,kampala,10,secondary/post-primary,never married,0,0.639,1.9602453067111254
565,0.459849834442139,rural,east central,19,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
566,0.562493979930878,rural,east central,37,primary/middle school,currently married,0,0.53,-0.03442659358543225
567,0.459849834442139,rural,east central,19,primary/middle school,currently married,0,0.53,-0.03442659358543225
568,2.11354660987854,rural,central 1,15,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
569,1.08199954032898,rural,east central,17,secondary/post-primary,divorced or separated,0,0.53,-0.03442659358543225
570,0.774413764476776,urban,kampala,31,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
571,0.963616847991943,rural,south west,13,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
572,0.275290846824646,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
573,0.890749514102936,rural,south west,17,never attended,currently living with partner,0,0.518,-0.2540235000400994
574,1.07834649085999,rural,west nile,29,primary/middle school,currently married,0,0.486,-0.8396152505858784
575,1.41751039028168,urban,western,14,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
576,0.774413764476776,urban,kampala,22,primary/middle school,currently married,0,0.639,1.9602453067111254
577,0.7029869556427,rural,north,24,secondary/post-primary,currently married,1,0.475,-1.0409124148359898
578,0.868455708026886,rural,north,13,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
579,0.663531422615051,rural,north,26,never attended,currently married,0,0.475,-1.0409124148359898
580,1.337850689888,urban,south west,16,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
581,1.27590298652649,rural,central 2,28,secondary/post-primary,currently married,0,0.586,0.990358969869679
582,0.981557369232178,rural,north,15,tertiary/post-secondary,never married,0,0.475,-1.0409124148359898
583,1.41751039028168,urban,western,14,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
584,0.813002467155457,rural,west nile,9,primary/middle school,never married,0,0.486,-0.8396152505858784
585,1.74646699428558,rural,western,26,secondary/post-primary,currently married,1,0.499,-0.6017186019266556
586,2.01047205924988,rural,eastern,29,never attended,currently married,0,0.526,-0.10762556240365462
587,0.320326715707779,urban,karamoja,14,primary/middle school,currently married,0,0.45,-1.4984059699498786
588,0.715515851974487,rural,east central,35,never attended,currently living with partner,0,0.53,-0.03442659358543225
589,0.715515851974487,rural,east central,19,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
590,0.771679103374481,rural,south west,17,primary/middle school,never married,0,0.518,-0.2540235000400994
591,0.735556721687317,rural,south west,18,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
592,0.562493979930878,rural,east central,8,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
593,1.32109415531158,rural,north,20,primary/middle school,currently married,1,0.475,-1.0409124148359898
594,0.97249847650528,rural,eastern,31,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
595,1.32109415531158,rural,north,38,primary/middle school,currently married,0,0.475,-1.0409124148359898
596,1.10726463794708,rural,west nile,32,primary/middle school,currently married,0,0.486,-0.8396152505858784
597,0.400493562221527,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
598,0.267083436250687,urban,kampala,23,primary/middle school,currently married,0,0.639,1.9602453067111254
599,1.17406678199768,rural,western,28,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
600,0.413919627666473,urban,kampala,26,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
601,0.405174255371094,rural,east central,34,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
602,0.403093278408051,urban,kampala,24,tertiary/post-secondary,currently living with partner,1,0.639,1.9602453067111254
603,1.17406678199768,rural,western,9,secondary/post-primary,never married,0,0.499,-0.6017186019266556
604,2.03499150276184,rural,east central,34,never attended,currently living with partner,0,0.53,-0.03442659358543225
605,0.981557369232178,rural,north,23,primary/middle school,currently married,0,0.475,-1.0409124148359898
606,1.96849310398102,rural,central 1,15,secondary/post-primary,divorced or separated,1,0.54,0.14857082846012368
607,0.870838284492493,urban,west nile,18,tertiary/post-secondary,currently married,0,0.486,-0.8396152505858784
608,0.21895606815815,urban,kampala,36,tertiary/post-secondary,divorced or separated,1,0.639,1.9602453067111254
609,1.26523149013519,urban,central 2,23,primary/middle school,currently living with partner,0,0.586,0.990358969869679
610,1.82856130599976,rural,south west,22,primary/middle school,currently married,0,0.518,-0.2540235000400994
611,3.63818645477295,urban,western,8,primary/middle school,never married,0,0.499,-0.6017186019266556
612,0.455407708883286,urban,kampala,20,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
613,0.533117592334747,rural,east central,31,tertiary/post-secondary,never married,0,0.53,-0.03442659358543225
614,0.515802502632141,rural,east central,14,primary/middle school,currently married,0,0.53,-0.03442659358543225
615,0.890749514102936,rural,south west,20,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
616,0.790351390838623,rural,central 2,27,primary/middle school,divorced or separated,0,0.586,0.990358969869679
617,0.9742192029953,rural,central 2,15,secondary/post-primary,currently living with partner,1,0.586,0.990358969869679
618,0.562493979930878,rural,east central,22,primary/middle school,currently married,0,0.53,-0.03442659358543225
619,1.62163639068604,urban,central 1,14,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
620,0.870838284492493,urban,west nile,30,primary/middle school,currently married,0,0.486,-0.8396152505858784
621,1.62163639068604,urban,central 1,36,primary/middle school,currently married,0,0.54,0.14857082846012368
622,0.7029869556427,rural,north,35,never attended,currently married,0,0.475,-1.0409124148359898
623,0.785676836967468,rural,western,12,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
624,1.337850689888,urban,south west,22,tertiary/post-secondary,currently living with partner,1,0.518,-0.2540235000400994
625,1.41751039028168,urban,western,10,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
626,0.327350169420242,urban,kampala,11,secondary/post-primary,never married,0,0.639,1.9602453067111254
627,1.14116489887238,rural,central 2,21,primary/middle school,currently living with partner,0,0.586,0.990358969869679
628,2.01047205924988,rural,eastern,32,primary/middle school,currently married,0,0.526,-0.10762556240365462
629,0.768798232078552,rural,central 2,22,primary/middle school,currently living with partner,0,0.586,0.990358969869679
630,1.16218483448029,urban,north,14,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
631,1.03977906703949,rural,west nile,21,secondary/post-primary,currently living with partner,0,0.486,-0.8396152505858784
632,0.663531422615051,rural,north,12,primary/middle school,currently married,0,0.475,-1.0409124148359898
633,2.20405745506287,rural,eastern,13,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
634,1.62227714061737,rural,eastern,22,primary/middle school,divorced or separated,1,0.526,-0.10762556240365462
635,0.890749514102936,rural,south west,36,primary/middle school,never married,0,0.518,-0.2540235000400994
636,0.743071973323822,urban,eastern,14,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
637,0.562493979930878,rural,east central,22,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
638,0.515802502632141,rural,east central,23,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
639,0.320326715707779,urban,karamoja,28,primary/middle school,currently married,0,0.45,-1.4984059699498786
640,0.649448990821838,urban,kampala,17,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
641,0.732630848884583,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
642,1.2955139875412,urban,central 1,12,primary/middle school,never married,0,0.54,0.14857082846012368
643,1.07834649085999,rural,west nile,11,primary/middle school,currently married,0,0.486,-0.8396152505858784
644,0.21895606815815,urban,kampala,10,secondary/post-primary,currently married,0,0.639,1.9602453067111254
645,0.327350169420242,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
646,0.413919627666473,urban,kampala,31,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
647,1.96849310398102,rural,central 1,10,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
648,1.03977906703949,rural,west nile,21,primary/middle school,currently married,0,0.486,-0.8396152505858784
649,0.221876218914986,rural,karamoja,10,primary/middle school,never married,0,0.45,-1.4984059699498786
650,1.23874318599701,rural,eastern,30,primary/middle school,currently married,0,0.526,-0.10762556240365462
651,1.08436417579651,rural,eastern,8,primary/middle school,never married,0,0.526,-0.10762556240365462
652,0.403093278408051,urban,kampala,21,secondary/post-primary,currently married,0,0.639,1.9602453067111254
653,0.774413764476776,urban,kampala,24,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
654,0.21895606815815,urban,kampala,25,secondary/post-primary,currently married,1,0.639,1.9602453067111254
655,1.27649021148682,rural,eastern,20,primary/middle school,currently married,0,0.526,-0.10762556240365462
656,0.756367683410645,urban,south west,11,never attended,currently living with partner,0,0.518,-0.2540235000400994
657,1.04114174842834,rural,western,40,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
658,0.771679103374481,rural,south west,25,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
659,0.21186837553978,urban,kampala,13,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
660,0.768798232078552,rural,central 2,28,primary/middle school,currently married,0,0.586,0.990358969869679
661,0.327350169420242,urban,kampala,25,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
662,0.455407708883286,urban,kampala,15,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
663,0.97249847650528,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
664,0.221876218914986,rural,karamoja,32,never attended,currently married,0,0.45,-1.4984059699498786
665,1.03977906703949,rural,west nile,22,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
666,0,urban,kampala,31,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
667,1.04114174842834,rural,western,29,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
668,2.01047205924988,rural,eastern,20,primary/middle school,currently married,0,0.526,-0.10762556240365462
669,1.17406678199768,rural,western,22,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
670,0.605311870574951,rural,north,24,never attended,divorced or separated,0,0.475,-1.0409124148359898
671,0.743071973323822,urban,eastern,33,primary/middle school,currently living with partner,1,0.526,-0.10762556240365462
672,0.393813788890839,urban,kampala,11,secondary/post-primary,never married,0,0.639,1.9602453067111254
673,0.880152344703674,rural,north,8,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
674,1.04114174842834,rural,western,36,never attended,currently living with partner,1,0.499,-0.6017186019266556
675,0.963616847991943,rural,south west,8,secondary/post-primary,never married,0,0.518,-0.2540235000400994
676,0.400493562221527,urban,kampala,11,secondary/post-primary,never married,0,0.639,1.9602453067111254
677,0.743071973323822,urban,eastern,21,secondary/post-primary,currently living with partner,1,0.526,-0.10762556240365462
678,0.743305802345276,urban,east central,29,never attended,divorced or separated,0,0.53,-0.03442659358543225
679,0.7029869556427,rural,north,20,primary/middle school,currently married,0,0.475,-1.0409124148359898
680,0.455407708883286,urban,kampala,15,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
681,1.07834649085999,rural,west nile,23,never attended,currently living with partner,0,0.486,-0.8396152505858784
682,0.774413764476776,urban,kampala,31,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
683,0.533117592334747,rural,east central,22,primary/middle school,currently married,0,0.53,-0.03442659358543225
684,1.76136827468872,rural,central 2,26,primary/middle school,currently living with partner,0,0.586,0.990358969869679
685,0.890749514102936,rural,south west,41,primary/middle school,currently married,0,0.518,-0.2540235000400994
686,2.90652441978455,rural,central 2,17,never attended,currently living with partner,0,0.586,0.990358969869679
687,0.708830237388611,rural,north,19,primary/middle school,currently married,0,0.475,-1.0409124148359898
688,0.515802502632141,rural,east central,26,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
689,1.74646699428558,rural,western,22,primary/middle school,currently married,0,0.499,-0.6017186019266556
690,2.40215873718262,rural,western,31,secondary/post-primary,divorced or separated,0,0.499,-0.6017186019266556
691,1.91893446445465,rural,western,10,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
692,1.17406678199768,rural,western,14,secondary/post-primary,never married,0,0.499,-0.6017186019266556
693,1.73442399501801,rural,eastern,33,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
694,0.521850943565369,urban,kampala,19,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
695,0.403276950120926,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
696,0.413919627666473,urban,kampala,27,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
697,0.184424161911011,rural,karamoja,24,never attended,currently married,0,0.45,-1.4984059699498786
698,0.663531422615051,rural,north,32,primary/middle school,currently married,0,0.475,-1.0409124148359898
699,0.413919627666473,urban,kampala,26,secondary/post-primary,currently married,0,0.639,1.9602453067111254
700,0.21895606815815,urban,kampala,14,secondary/post-primary,never married,0,0.639,1.9602453067111254
701,0.227233305573463,rural,karamoja,34,never attended,currently living with partner,0,0.45,-1.4984059699498786
702,0.735556721687317,rural,south west,22,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
703,0.783331871032715,rural,east central,32,never attended,currently married,0,0.53,-0.03442659358543225
704,3.62319445610046,urban,central 2,12,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
705,2.03499150276184,rural,east central,19,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
706,0.451668053865433,urban,kampala,21,secondary/post-primary,currently married,0,0.639,1.9602453067111254
707,1.17406678199768,rural,western,27,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
708,1.23874318599701,rural,eastern,30,never attended,currently married,0,0.526,-0.10762556240365462
709,2.01047205924988,rural,eastern,10,primary/middle school,currently married,0,0.526,-0.10762556240365462
710,0.715515851974487,rural,east central,14,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
