gender,state,vote_biden,age_group,education_level,stateicp
female,WI,0,age_45-59,Post sec +,wisconsin
female,VA,0,age_45-59,Post sec +,virginia
female,TX,0,age_60_or_more,High school or less,texas
female,WA,0,age_45-59,High school or less,washington
female,MA,1,age_18-29,Some post sec,massachusetts
female,TX,1,age_30-44,Some post sec,texas
female,CA,0,age_60_or_more,Some post sec,california
female,NC,0,age_45-59,Post sec +,north carolina
female,MD,0,age_60_or_more,Post sec +,maryland
female,FL,1,age_45-59,Some post sec,florida
female,WV,0,age_60_or_more,Some post sec,west virginia
female,OH,1,age_30-44,High school or less,ohio
female,NY,1,age_60_or_more,Post sec +,new york
female,KY,1,age_18-29,Some post sec,kentucky
female,FL,0,age_60_or_more,Post sec +,florida
male,IN,0,age_60_or_more,Post sec +,indiana
female,MI,1,age_60_or_more,High school or less,michigan
male,WA,1,age_30-44,Post sec +,washington
female,IA,0,age_60_or_more,Post sec +,iowa
female,CA,1,age_60_or_more,Some post sec,california
female,SC,0,age_45-59,Post sec +,south carolina
male,MN,1,age_60_or_more,Post sec +,minnesota
female,GA,0,age_60_or_more,Some post sec,georgia
female,PA,0,age_30-44,Grad degree,pennsylvania
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,VA,0,age_30-44,Post sec +,virginia
female,SC,0,age_60_or_more,Some post sec,south carolina
female,TX,0,age_60_or_more,Post sec +,texas
female,FL,1,age_18-29,Some post sec,florida
female,AZ,1,age_60_or_more,Grad degree,arizona
male,IL,1,age_60_or_more,Grad degree,illinois
male,OH,0,age_60_or_more,Some post sec,ohio
female,OH,1,age_45-59,Grad degree,ohio
male,CA,1,age_60_or_more,Some post sec,california
female,FL,0,age_30-44,High school or less,florida
female,NC,1,age_60_or_more,Post sec +,north carolina
male,TX,1,age_30-44,Post sec +,texas
female,FL,1,age_30-44,Grad degree,florida
female,TX,1,age_30-44,Post sec +,texas
female,NJ,1,age_30-44,Post sec +,new jersey
female,FL,1,age_18-29,Some post sec,florida
female,CA,1,age_30-44,High school or less,california
female,OR,0,age_60_or_more,Some post sec,oregon
female,PA,0,age_45-59,Post sec +,pennsylvania
female,PA,1,age_60_or_more,Post sec +,pennsylvania
female,NC,1,age_60_or_more,Some post sec,north carolina
female,TX,0,age_30-44,Some post sec,texas
male,VA,0,age_30-44,Grad degree,virginia
male,OH,0,age_60_or_more,Grad degree,ohio
female,CA,1,age_30-44,Post sec +,california
female,IL,1,age_45-59,Grad degree,illinois
female,NC,0,age_60_or_more,Post sec +,north carolina
female,MI,1,age_45-59,Some post sec,michigan
female,CA,1,age_18-29,Grad degree,california
female,MI,1,age_30-44,Some post sec,michigan
male,CT,1,age_30-44,High school or less,connecticut
female,NC,0,age_60_or_more,Post sec +,north carolina
female,DE,0,age_60_or_more,Some post sec,delaware
female,CT,0,age_60_or_more,Post sec +,connecticut
female,NC,0,age_30-44,Grad degree,north carolina
female,OR,0,age_60_or_more,Post sec +,oregon
female,IL,0,age_60_or_more,Grad degree,illinois
female,NJ,1,age_18-29,Some post sec,new jersey
female,CA,0,age_45-59,Grad degree,california
female,NC,0,age_60_or_more,Post sec +,north carolina
female,FL,1,age_60_or_more,Grad degree,florida
female,IA,1,age_45-59,Post sec +,iowa
female,GA,0,age_45-59,Grad degree,georgia
female,NY,1,age_60_or_more,Grad degree,new york
female,WA,1,age_60_or_more,Post sec +,washington
female,MI,1,age_30-44,Some post sec,michigan
female,OH,1,age_45-59,Some post sec,ohio
female,IL,0,age_30-44,High school or less,illinois
female,MA,1,age_60_or_more,High school or less,massachusetts
female,MO,1,age_30-44,Grad degree,missouri
female,CO,1,age_45-59,Grad degree,colorado
female,IL,0,age_45-59,Some post sec,illinois
female,NC,0,age_60_or_more,Post sec +,north carolina
female,NY,1,age_60_or_more,Grad degree,new york
female,IN,0,age_45-59,High school or less,indiana
female,CA,1,age_30-44,Post sec +,california
female,FL,0,age_18-29,Some post sec,florida
female,PA,0,age_60_or_more,Some post sec,pennsylvania
female,SC,0,age_30-44,Some post sec,south carolina
female,IL,0,age_45-59,Grad degree,illinois
female,OH,1,age_60_or_more,Some post sec,ohio
male,NY,0,age_45-59,Grad degree,new york
male,IA,0,age_60_or_more,Some post sec,iowa
female,WI,0,age_45-59,Grad degree,wisconsin
female,CT,1,age_18-29,Post sec +,connecticut
female,PA,0,age_45-59,High school or less,pennsylvania
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,DC,1,age_30-44,Grad degree,district of columbia
male,PA,1,age_60_or_more,Grad degree,pennsylvania
male,GA,0,age_18-29,Post sec +,georgia
female,NY,1,age_30-44,Grad degree,new york
male,FL,0,age_30-44,Grad degree,florida
male,FL,1,age_18-29,High school or less,florida
male,NY,1,age_45-59,Some post sec,new york
female,GA,0,age_45-59,Post sec +,georgia
female,IL,0,age_45-59,Some post sec,illinois
male,NM,1,age_60_or_more,Some post sec,new mexico
female,TN,1,age_45-59,Post sec +,tennessee
female,CA,1,age_45-59,Post sec +,california
female,NC,0,age_30-44,Post sec +,north carolina
female,VA,0,age_60_or_more,Some post sec,virginia
male,MN,0,age_30-44,Post sec +,minnesota
male,WI,0,age_60_or_more,Post sec +,wisconsin
female,PA,1,age_30-44,Grad degree,pennsylvania
female,OK,1,age_18-29,Some post sec,oklahoma
female,IL,0,age_60_or_more,Grad degree,illinois
male,FL,0,age_45-59,Grad degree,florida
female,DC,1,age_60_or_more,Grad degree,district of columbia
female,TX,0,age_45-59,Grad degree,texas
female,IN,0,age_18-29,Post sec +,indiana
male,OH,0,age_45-59,Post sec +,ohio
male,AZ,1,age_60_or_more,Post sec +,arizona
female,NJ,0,age_45-59,Post sec +,new jersey
male,CO,1,age_60_or_more,Some post sec,colorado
male,PA,1,age_45-59,Grad degree,pennsylvania
female,OH,1,age_45-59,Some post sec,ohio
male,HI,1,age_60_or_more,Post sec +,hawaii
male,CT,1,age_45-59,Grad degree,connecticut
female,FL,1,age_30-44,Grad degree,florida
female,IL,1,age_60_or_more,Post sec +,illinois
male,WI,1,age_60_or_more,Post sec +,wisconsin
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,TX,0,age_45-59,Some post sec,texas
male,TX,0,age_60_or_more,Post sec +,texas
male,MT,0,age_60_or_more,Grad degree,montana
female,PA,1,age_60_or_more,Some post sec,pennsylvania
female,CA,1,age_30-44,Post sec +,california
female,TX,0,age_60_or_more,Some post sec,texas
male,CA,0,age_60_or_more,Post sec +,california
female,TN,0,age_60_or_more,Some post sec,tennessee
female,NC,1,age_60_or_more,Some post sec,north carolina
female,PA,0,age_18-29,High school or less,pennsylvania
female,CT,1,age_30-44,Post sec +,connecticut
female,TN,0,age_30-44,Grad degree,tennessee
female,TX,1,age_60_or_more,High school or less,texas
female,NJ,0,age_45-59,Some post sec,new jersey
female,TN,0,age_45-59,Post sec +,tennessee
female,IL,1,age_60_or_more,Some post sec,illinois
female,OR,0,age_18-29,Grad degree,oregon
male,CA,1,age_18-29,Some post sec,california
female,CT,1,age_30-44,High school or less,connecticut
female,WI,1,age_60_or_more,Some post sec,wisconsin
female,MA,0,age_60_or_more,Post sec +,massachusetts
female,FL,1,age_30-44,Post sec +,florida
male,NV,1,age_18-29,High school or less,nevada
female,VT,1,age_60_or_more,Some post sec,vermont
male,NY,1,age_18-29,Post sec +,new york
male,PA,0,age_30-44,Post sec +,pennsylvania
female,KY,0,age_18-29,High school or less,kentucky
female,MD,0,age_60_or_more,Some post sec,maryland
male,IL,1,age_30-44,Some post sec,illinois
female,MO,1,age_60_or_more,Grad degree,missouri
female,FL,0,age_45-59,Grad degree,florida
female,CA,0,age_30-44,Post sec +,california
female,MT,1,age_60_or_more,Some post sec,montana
female,WI,1,age_30-44,High school or less,wisconsin
male,SC,1,age_45-59,High school or less,south carolina
female,IL,0,age_60_or_more,Post sec +,illinois
female,MO,1,age_60_or_more,Some post sec,missouri
female,TX,0,age_60_or_more,Some post sec,texas
female,OH,0,age_60_or_more,Post sec +,ohio
male,TN,1,age_45-59,Some post sec,tennessee
female,UT,1,age_18-29,Post sec +,utah
male,MN,1,age_30-44,Post sec +,minnesota
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,SC,1,age_60_or_more,Post sec +,south carolina
female,GA,0,age_60_or_more,Post sec +,georgia
female,CA,1,age_30-44,Grad degree,california
female,VA,0,age_45-59,Post sec +,virginia
female,WV,0,age_60_or_more,High school or less,west virginia
male,FL,1,age_18-29,Some post sec,florida
female,MI,0,age_45-59,Post sec +,michigan
female,NE,0,age_45-59,Post sec +,nebraska
female,MI,0,age_45-59,Some post sec,michigan
female,UT,0,age_18-29,High school or less,utah
female,FL,0,age_60_or_more,Post sec +,florida
female,NC,0,age_18-29,High school or less,north carolina
female,AZ,1,age_60_or_more,Post sec +,arizona
female,TN,0,age_60_or_more,High school or less,tennessee
male,MA,1,age_45-59,Post sec +,massachusetts
female,IL,0,age_45-59,Some post sec,illinois
female,CA,1,age_60_or_more,Post sec +,california
female,NY,1,age_60_or_more,High school or less,new york
male,CO,0,age_30-44,High school or less,colorado
female,HI,1,age_30-44,Post sec +,hawaii
female,CA,1,age_60_or_more,Grad degree,california
male,CA,0,age_30-44,Post sec +,california
female,NY,0,age_45-59,Some post sec,new york
male,DC,1,age_30-44,Some post sec,district of columbia
female,FL,1,age_60_or_more,Grad degree,florida
male,TX,0,age_30-44,Grad degree,texas
female,IN,1,age_18-29,High school or less,indiana
male,NY,0,age_30-44,Grad degree,new york
male,GA,0,age_30-44,Post sec +,georgia
male,NY,1,age_18-29,High school or less,new york
female,OH,1,age_30-44,Post sec +,ohio
male,CO,1,age_30-44,Grad degree,colorado
female,IL,0,age_18-29,High school or less,illinois
male,NJ,1,age_30-44,Post sec +,new jersey
male,IL,1,age_45-59,High school or less,illinois
male,MN,0,age_30-44,Post sec +,minnesota
female,MO,0,age_45-59,High school or less,missouri
male,WA,0,age_18-29,Post sec +,washington
female,CA,1,age_30-44,Grad degree,california
female,TX,1,age_18-29,High school or less,texas
female,CA,1,age_18-29,Some post sec,california
male,PA,0,age_45-59,Post sec +,pennsylvania
male,CA,0,age_30-44,Grad degree,california
male,AZ,1,age_60_or_more,Grad degree,arizona
male,OH,0,age_18-29,High school or less,ohio
female,CA,1,age_45-59,Post sec +,california
male,MO,1,age_30-44,High school or less,missouri
male,WI,1,age_45-59,Some post sec,wisconsin
male,NY,0,age_30-44,Post sec +,new york
female,WI,0,age_30-44,Some post sec,wisconsin
male,PA,1,age_30-44,Grad degree,pennsylvania
male,NY,1,age_18-29,High school or less,new york
female,MN,1,age_30-44,Post sec +,minnesota
male,NH,1,age_30-44,Post sec +,new hampshire
female,MI,1,age_30-44,High school or less,michigan
female,CO,1,age_18-29,High school or less,colorado
male,VA,0,age_30-44,Grad degree,virginia
female,MI,1,age_45-59,High school or less,michigan
female,PA,1,age_18-29,Some post sec,pennsylvania
female,CA,1,age_60_or_more,Grad degree,california
female,AZ,0,age_60_or_more,High school or less,arizona
male,KY,0,age_30-44,Post sec +,kentucky
female,MN,1,age_45-59,Post sec +,minnesota
female,NV,1,age_30-44,Post sec +,nevada
male,IL,1,age_18-29,Some post sec,illinois
male,NY,1,age_30-44,Grad degree,new york
female,GA,1,age_18-29,Post sec +,georgia
male,VA,1,age_45-59,Grad degree,virginia
female,IN,0,age_60_or_more,Post sec +,indiana
male,MD,1,age_18-29,High school or less,maryland
female,CA,1,age_60_or_more,Post sec +,california
male,TX,1,age_45-59,Some post sec,texas
female,FL,1,age_60_or_more,Post sec +,florida
male,NJ,1,age_30-44,Grad degree,new jersey
male,FL,1,age_30-44,Post sec +,florida
male,TX,0,age_30-44,High school or less,texas
female,CA,1,age_18-29,Post sec +,california
male,WI,0,age_30-44,Grad degree,wisconsin
male,FL,1,age_18-29,High school or less,florida
male,MI,1,age_60_or_more,Some post sec,michigan
female,VA,0,age_18-29,Some post sec,virginia
male,VA,0,age_18-29,High school or less,virginia
male,CA,1,age_30-44,Post sec +,california
male,IA,1,age_18-29,Some post sec,iowa
male,OH,0,age_30-44,Grad degree,ohio
male,VA,0,age_30-44,High school or less,virginia
male,MI,1,age_60_or_more,High school or less,michigan
female,MA,1,age_18-29,Post sec +,massachusetts
male,NJ,0,age_30-44,Grad degree,new jersey
female,CA,1,age_60_or_more,Grad degree,california
male,TN,0,age_30-44,High school or less,tennessee
male,NY,1,age_30-44,Grad degree,new york
male,MO,1,age_18-29,Post sec +,missouri
female,OH,0,age_30-44,Post sec +,ohio
male,TX,1,age_18-29,Post sec +,texas
male,MD,1,age_60_or_more,High school or less,maryland
female,AZ,1,age_60_or_more,Some post sec,arizona
male,OH,0,age_60_or_more,Post sec +,ohio
male,ME,0,age_45-59,Post sec +,maine
male,CA,1,age_18-29,High school or less,california
male,NJ,0,age_30-44,Grad degree,new jersey
female,OH,1,age_18-29,Some post sec,ohio
male,WI,0,age_45-59,Some post sec,wisconsin
male,SC,0,age_45-59,Some post sec,south carolina
female,ID,0,age_30-44,High school or less,idaho
female,LA,0,age_30-44,Post sec +,louisiana
male,FL,0,age_30-44,Some post sec,florida
male,MO,1,age_30-44,High school or less,missouri
male,FL,1,age_60_or_more,Post sec +,florida
male,MN,0,age_18-29,High school or less,minnesota
male,CO,1,age_18-29,High school or less,colorado
female,WI,1,age_18-29,Post sec +,wisconsin
female,OH,0,age_18-29,High school or less,ohio
male,PA,0,age_60_or_more,Some post sec,pennsylvania
male,NH,0,age_30-44,Grad degree,new hampshire
male,VA,0,age_30-44,Post sec +,virginia
male,NC,0,age_30-44,Post sec +,north carolina
male,VA,1,age_45-59,High school or less,virginia
male,FL,0,age_60_or_more,Some post sec,florida
female,NE,1,age_60_or_more,Some post sec,nebraska
female,CA,0,age_60_or_more,Post sec +,california
male,CA,1,age_30-44,Grad degree,california
female,TX,1,age_18-29,Some post sec,texas
female,OR,0,age_60_or_more,High school or less,oregon
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,SC,0,age_30-44,Grad degree,south carolina
male,CA,0,age_30-44,Grad degree,california
female,PA,1,age_30-44,Post sec +,pennsylvania
male,WA,1,age_60_or_more,Post sec +,washington
female,UT,0,age_45-59,Post sec +,utah
female,CA,1,age_18-29,Some post sec,california
male,FL,1,age_30-44,Post sec +,florida
male,CA,1,age_30-44,High school or less,california
male,CA,0,age_45-59,Grad degree,california
female,AZ,0,age_45-59,Some post sec,arizona
male,NY,0,age_30-44,Grad degree,new york
female,TX,0,age_30-44,High school or less,texas
female,TX,1,age_18-29,Some post sec,texas
male,FL,0,age_60_or_more,Grad degree,florida
female,CA,1,age_30-44,Some post sec,california
male,CO,1,age_45-59,High school or less,colorado
female,NV,1,age_60_or_more,High school or less,nevada
male,NY,1,age_18-29,High school or less,new york
male,AZ,1,age_30-44,Some post sec,arizona
male,FL,1,age_18-29,Some post sec,florida
female,MD,0,age_60_or_more,Some post sec,maryland
male,MN,0,age_18-29,High school or less,minnesota
female,KY,0,age_45-59,Some post sec,kentucky
female,CA,1,age_45-59,Post sec +,california
female,NY,0,age_18-29,Post sec +,new york
female,CA,0,age_30-44,Post sec +,california
male,NC,1,age_30-44,Some post sec,north carolina
male,OH,0,age_45-59,Grad degree,ohio
female,TX,0,age_18-29,Some post sec,texas
male,CA,1,age_45-59,Some post sec,california
male,FL,0,age_18-29,Some post sec,florida
male,NC,0,age_30-44,High school or less,north carolina
male,IA,1,age_45-59,Post sec +,iowa
female,CA,1,age_45-59,Post sec +,california
male,GA,0,age_60_or_more,High school or less,georgia
male,CA,1,age_60_or_more,Some post sec,california
female,AZ,0,age_45-59,Some post sec,arizona
female,SC,1,age_30-44,Some post sec,south carolina
male,OH,1,age_60_or_more,Post sec +,ohio
male,VA,1,age_30-44,Grad degree,virginia
male,IN,1,age_60_or_more,Some post sec,indiana
male,GA,0,age_30-44,Grad degree,georgia
female,MA,0,age_60_or_more,High school or less,massachusetts
female,CA,1,age_30-44,Post sec +,california
female,MD,0,age_30-44,Post sec +,maryland
female,OH,0,age_30-44,High school or less,ohio
male,NC,0,age_30-44,Grad degree,north carolina
female,WI,1,age_18-29,Post sec +,wisconsin
female,IL,1,age_18-29,High school or less,illinois
female,HI,1,age_30-44,High school or less,hawaii
male,CA,1,age_30-44,Some post sec,california
female,NY,0,age_30-44,Grad degree,new york
male,CA,0,age_30-44,Grad degree,california
male,MO,0,age_30-44,High school or less,missouri
female,MI,0,age_45-59,Post sec +,michigan
female,IL,0,age_45-59,High school or less,illinois
male,NY,0,age_30-44,Post sec +,new york
male,OH,0,age_18-29,High school or less,ohio
female,FL,0,age_18-29,Some post sec,florida
female,NV,1,age_18-29,High school or less,nevada
female,NC,1,age_18-29,Some post sec,north carolina
male,MS,1,age_45-59,Grad degree,mississippi
male,MI,1,age_60_or_more,Some post sec,michigan
female,AZ,0,age_45-59,Post sec +,arizona
female,MI,1,age_18-29,Some post sec,michigan
male,CA,1,age_18-29,Grad degree,california
female,CO,1,age_18-29,Post sec +,colorado
female,IL,1,age_60_or_more,Some post sec,illinois
male,OK,1,age_18-29,High school or less,oklahoma
male,CA,1,age_60_or_more,Grad degree,california
male,LA,0,age_18-29,High school or less,louisiana
male,FL,0,age_18-29,Post sec +,florida
male,TX,0,age_45-59,High school or less,texas
male,CA,1,age_18-29,High school or less,california
female,TX,1,age_18-29,Some post sec,texas
male,TX,1,age_30-44,Post sec +,texas
female,IN,0,age_45-59,Some post sec,indiana
male,FL,1,age_30-44,Some post sec,florida
male,MN,1,age_30-44,Post sec +,minnesota
female,FL,1,age_18-29,Some post sec,florida
female,CA,1,age_18-29,Post sec +,california
male,WV,0,age_30-44,Some post sec,west virginia
male,KS,0,age_60_or_more,Post sec +,kansas
female,CA,1,age_18-29,Post sec +,california
female,KY,1,age_60_or_more,High school or less,kentucky
female,TX,1,age_18-29,Some post sec,texas
female,OK,1,age_30-44,High school or less,oklahoma
male,NY,0,age_60_or_more,Post sec +,new york
male,CA,1,age_30-44,Some post sec,california
male,PA,0,age_60_or_more,High school or less,pennsylvania
female,WI,1,age_30-44,Grad degree,wisconsin
male,GA,1,age_45-59,High school or less,georgia
male,OH,0,age_60_or_more,High school or less,ohio
male,NJ,1,age_30-44,Grad degree,new jersey
male,FL,0,age_45-59,High school or less,florida
female,TX,0,age_30-44,High school or less,texas
male,TX,0,age_45-59,Post sec +,texas
male,WV,0,age_30-44,Some post sec,west virginia
female,PA,1,age_30-44,Post sec +,pennsylvania
female,NC,1,age_45-59,Some post sec,north carolina
male,VA,1,age_30-44,Post sec +,virginia
male,NY,0,age_30-44,Grad degree,new york
male,CA,0,age_30-44,Post sec +,california
female,VA,1,age_60_or_more,Post sec +,virginia
male,IL,1,age_45-59,Some post sec,illinois
male,NC,0,age_45-59,Post sec +,north carolina
male,FL,1,age_30-44,Grad degree,florida
female,TX,0,age_30-44,Post sec +,texas
female,MA,1,age_45-59,Grad degree,massachusetts
female,GA,0,age_60_or_more,High school or less,georgia
male,NY,1,age_30-44,Post sec +,new york
female,KY,0,age_45-59,High school or less,kentucky
male,AZ,1,age_60_or_more,Some post sec,arizona
male,NY,1,age_45-59,Grad degree,new york
female,FL,1,age_60_or_more,Some post sec,florida
male,TX,1,age_30-44,High school or less,texas
female,TX,0,age_18-29,Post sec +,texas
male,WI,1,age_30-44,High school or less,wisconsin
male,FL,0,age_30-44,Grad degree,florida
male,CA,1,age_18-29,Post sec +,california
male,FL,1,age_30-44,Post sec +,florida
female,ID,1,age_30-44,High school or less,idaho
male,NY,1,age_30-44,Grad degree,new york
female,CT,1,age_18-29,Post sec +,connecticut
male,NC,1,age_30-44,Post sec +,north carolina
female,CA,1,age_18-29,Post sec +,california
female,CA,1,age_60_or_more,Some post sec,california
male,IA,0,age_45-59,Some post sec,iowa
female,NJ,1,age_30-44,Grad degree,new jersey
male,UT,0,age_30-44,Some post sec,utah
female,CA,1,age_18-29,Post sec +,california
male,CT,1,age_60_or_more,Post sec +,connecticut
female,NV,1,age_45-59,Post sec +,nevada
male,OH,0,age_60_or_more,High school or less,ohio
female,MN,1,age_18-29,Some post sec,minnesota
male,CA,1,age_18-29,Post sec +,california
female,KY,1,age_60_or_more,Post sec +,kentucky
female,CA,0,age_18-29,High school or less,california
male,NY,0,age_30-44,Post sec +,new york
female,FL,0,age_18-29,Post sec +,florida
male,TX,0,age_60_or_more,Post sec +,texas
female,CA,0,age_45-59,Post sec +,california
female,OR,1,age_18-29,Post sec +,oregon
male,NJ,0,age_30-44,Post sec +,new jersey
female,IA,0,age_30-44,High school or less,iowa
female,CA,1,age_18-29,Post sec +,california
male,AR,0,age_60_or_more,Post sec +,arkansas
female,FL,1,age_18-29,Post sec +,florida
female,NJ,1,age_30-44,High school or less,new jersey
female,CA,1,age_60_or_more,Post sec +,california
male,SC,0,age_45-59,Some post sec,south carolina
male,TX,0,age_60_or_more,Post sec +,texas
female,TX,0,age_60_or_more,Some post sec,texas
male,NY,0,age_18-29,Post sec +,new york
male,AZ,0,age_60_or_more,High school or less,arizona
male,IN,0,age_30-44,Grad degree,indiana
female,NJ,1,age_18-29,Some post sec,new jersey
female,CA,0,age_30-44,Post sec +,california
female,NC,1,age_60_or_more,Post sec +,north carolina
male,TX,0,age_30-44,Some post sec,texas
male,CA,0,age_45-59,Post sec +,california
female,LA,1,age_30-44,Post sec +,louisiana
male,NJ,1,age_60_or_more,Post sec +,new jersey
male,MT,0,age_60_or_more,Grad degree,montana
male,OH,0,age_30-44,High school or less,ohio
male,CA,0,age_18-29,High school or less,california
male,MN,0,age_60_or_more,Post sec +,minnesota
male,KS,1,age_18-29,Some post sec,kansas
male,MD,0,age_30-44,Grad degree,maryland
female,AL,1,age_30-44,Post sec +,alabama
female,MN,1,age_45-59,Grad degree,minnesota
male,CA,1,age_30-44,Some post sec,california
female,TX,1,age_45-59,Some post sec,texas
female,MD,1,age_60_or_more,Some post sec,maryland
male,AL,0,age_30-44,High school or less,alabama
male,FL,1,age_60_or_more,Some post sec,florida
female,CA,1,age_18-29,Post sec +,california
male,TX,1,age_30-44,Post sec +,texas
female,AR,0,age_18-29,Grad degree,arkansas
female,CA,1,age_18-29,High school or less,california
female,IL,0,age_45-59,Post sec +,illinois
male,NJ,1,age_18-29,High school or less,new jersey
male,NY,1,age_45-59,Post sec +,new york
female,MA,0,age_60_or_more,Post sec +,massachusetts
female,FL,0,age_30-44,Some post sec,florida
female,NJ,1,age_18-29,Some post sec,new jersey
male,TX,0,age_30-44,High school or less,texas
male,SD,0,age_30-44,Post sec +,south dakota
male,WI,0,age_45-59,Some post sec,wisconsin
female,CA,1,age_18-29,Post sec +,california
male,TX,0,age_18-29,High school or less,texas
female,MN,0,age_18-29,Some post sec,minnesota
male,NV,1,age_18-29,Post sec +,nevada
female,IL,1,age_18-29,Post sec +,illinois
male,GA,1,age_45-59,High school or less,georgia
male,AL,0,age_60_or_more,Grad degree,alabama
female,NY,1,age_60_or_more,High school or less,new york
female,KS,1,age_60_or_more,Post sec +,kansas
male,TX,0,age_30-44,High school or less,texas
female,AZ,1,age_30-44,Post sec +,arizona
female,NJ,0,age_60_or_more,High school or less,new jersey
male,MO,1,age_18-29,High school or less,missouri
female,CA,1,age_18-29,Post sec +,california
female,VA,1,age_18-29,Some post sec,virginia
female,IA,0,age_30-44,Some post sec,iowa
female,DE,1,age_18-29,Some post sec,delaware
male,NV,0,age_30-44,Grad degree,nevada
male,TX,0,age_60_or_more,Some post sec,texas
male,NM,1,age_60_or_more,Grad degree,new mexico
female,NY,1,age_45-59,Some post sec,new york
male,AL,1,age_18-29,Some post sec,alabama
female,MO,0,age_30-44,Some post sec,missouri
female,FL,0,age_60_or_more,Grad degree,florida
female,IL,0,age_60_or_more,Grad degree,illinois
female,WA,1,age_30-44,Post sec +,washington
female,TX,1,age_30-44,Post sec +,texas
female,AZ,1,age_45-59,Some post sec,arizona
female,MI,1,age_30-44,Post sec +,michigan
female,MI,1,age_18-29,High school or less,michigan
male,OK,0,age_45-59,Grad degree,oklahoma
female,SC,0,age_18-29,High school or less,south carolina
female,IL,0,age_18-29,High school or less,illinois
male,TN,1,age_30-44,Some post sec,tennessee
female,NY,1,age_60_or_more,Post sec +,new york
male,PA,0,age_45-59,Some post sec,pennsylvania
male,TX,1,age_18-29,High school or less,texas
female,VA,1,age_45-59,Some post sec,virginia
female,CA,0,age_45-59,Some post sec,california
female,GA,1,age_18-29,High school or less,georgia
male,KY,0,age_30-44,Post sec +,kentucky
male,WI,0,age_30-44,Post sec +,wisconsin
male,NC,1,age_60_or_more,High school or less,north carolina
male,CO,1,age_18-29,Post sec +,colorado
male,NJ,0,age_30-44,Grad degree,new jersey
male,LA,0,age_30-44,High school or less,louisiana
male,IL,1,age_18-29,High school or less,illinois
male,MA,0,age_30-44,Some post sec,massachusetts
male,FL,0,age_18-29,High school or less,florida
male,OH,1,age_30-44,High school or less,ohio
female,FL,1,age_18-29,Grad degree,florida
male,NY,1,age_30-44,Post sec +,new york
male,OR,1,age_30-44,High school or less,oregon
male,CA,0,age_60_or_more,Some post sec,california
male,CA,1,age_30-44,High school or less,california
male,CA,1,age_30-44,High school or less,california
male,IL,1,age_45-59,Some post sec,illinois
female,CA,1,age_30-44,Post sec +,california
female,TX,1,age_18-29,Some post sec,texas
male,MI,1,age_30-44,Post sec +,michigan
female,NY,1,age_30-44,High school or less,new york
female,TN,1,age_18-29,High school or less,tennessee
male,IL,1,age_60_or_more,Some post sec,illinois
female,TN,0,age_45-59,High school or less,tennessee
male,MD,1,age_45-59,Post sec +,maryland
female,NH,1,age_18-29,Some post sec,new hampshire
male,WY,0,age_30-44,High school or less,wyoming
female,FL,1,age_30-44,Post sec +,florida
female,GA,1,age_18-29,Post sec +,georgia
female,TX,1,age_30-44,High school or less,texas
male,AZ,1,age_18-29,Post sec +,arizona
male,VA,0,age_30-44,High school or less,virginia
male,VA,0,age_60_or_more,High school or less,virginia
female,TX,0,age_45-59,Some post sec,texas
female,OH,1,age_45-59,High school or less,ohio
female,OK,1,age_18-29,High school or less,oklahoma
female,AL,1,age_18-29,High school or less,alabama
male,KY,0,age_60_or_more,Grad degree,kentucky
male,WV,0,age_18-29,High school or less,west virginia
male,CA,1,age_30-44,Post sec +,california
female,NY,1,age_18-29,Post sec +,new york
female,NY,0,age_45-59,High school or less,new york
female,TX,0,age_30-44,Some post sec,texas
male,MO,1,age_45-59,Some post sec,missouri
male,PA,0,age_60_or_more,Some post sec,pennsylvania
female,IL,1,age_45-59,Some post sec,illinois
female,IA,1,age_18-29,Some post sec,iowa
female,TX,0,age_45-59,High school or less,texas
male,GA,0,age_45-59,Post sec +,georgia
female,NY,1,age_60_or_more,Grad degree,new york
male,TX,0,age_18-29,Some post sec,texas
male,WA,0,age_60_or_more,Some post sec,washington
male,IL,1,age_30-44,High school or less,illinois
male,AZ,1,age_18-29,Some post sec,arizona
male,LA,0,age_45-59,Some post sec,louisiana
male,AZ,0,age_30-44,Post sec +,arizona
male,NY,0,age_60_or_more,Some post sec,new york
female,CO,0,age_30-44,Some post sec,colorado
male,AL,1,age_45-59,Some post sec,alabama
male,NC,1,age_60_or_more,Post sec +,north carolina
male,NY,1,age_45-59,Post sec +,new york
female,FL,1,age_18-29,Post sec +,florida
male,MI,0,age_45-59,Some post sec,michigan
female,FL,0,age_30-44,Some post sec,florida
male,CA,1,age_30-44,High school or less,california
male,MI,1,age_60_or_more,Some post sec,michigan
male,MT,0,age_60_or_more,Post sec +,montana
male,NV,1,age_60_or_more,Post sec +,nevada
male,PA,1,age_45-59,High school or less,pennsylvania
female,VA,0,age_45-59,High school or less,virginia
male,TX,0,age_60_or_more,High school or less,texas
male,WA,1,age_18-29,High school or less,washington
female,AL,0,age_30-44,Some post sec,alabama
female,DE,1,age_30-44,High school or less,delaware
male,PA,0,age_45-59,High school or less,pennsylvania
